Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
15,14.75,15,15,14.75,14.88,13.8,12.75,13.85,13.88,15,15,,15,10,9,10,10,10,10,10,10,10,10,52,31,52,55
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,8,10,10,10,10,10,10,52,53,36,55
,15,,15,14,15,11.55,15,15,14,10.76,12.67,15,15,6,6,8,10,10,9,10,9,10,10,48,47,35,55
15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,10,9,10,10,10,10,8,10,8,51,28,34,55
15,15,15,15,15,15,14.5,13.3,15,15,14.38,11.58,14.75,0,5,10,9,10,10,9,9,6,10,10,25,36,32,55
15,14.88,15,14.55,14.75,15,14.1,13.9,14.5,15,14.33,15,,,10,8,10,7,10,7,8,8,10,10,40,34,32,55
15,15,15,15,15,15,15,12.92,14.5,15,15,15,15,15,10,10,9,10,10,10,10,6,9,9,51,56,31,55
14,15,15,15,15,15,14,11.25,13,12.79,14.33,12.33,10.67,13,7,10,10,10,6,9,6,10,5,10,52,37,31,55
15,15,10.33,6.64,15,15,14.8,,8.69,14.29,4,,,15,2,7,9,9,10,2,10,10,1,9,29,39,30,55
15,15,15,14.61,13.88,14.88,14.3,14.47,14.4,14.17,7.67,2.67,14.75,,9,10,10,9,9,9,10,10,6,10,43,36,30,55
15,15,14.9,14.3,13.63,13.25,14.5,13.02,11.02,13.96,12.84,12.92,13.92,14,10,9,9,9,10,10,8,9,9,9,45,39,27,55
15,15,15,15,15,15,13.9,10.32,15,9,14.71,13.75,14,0,6,9,4,,4,9,10,8,10,7,44,36,23,55
15,15,15,15,15,15,15,11,15,15,15,15,3,,10,10,10,10,10,10,10,10,9,10,52,34,56,54
15,15,15,15,15,15,15,,15,15,3,14.5,3,14,9,8,10,10,10,10,10,10,10,,52,58,53,54
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,8,10,10,8,10,10,10,10,7,10,38,38,52,54
15,14.88,15,14.78,15,15,15,14.75,15,13.83,12.67,13.83,11.83,12,7,10,10,9,7,5,5,10,9,9,48,57,48,54
